============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R663 c-6 b648 m32334.0 rL
R664 c-5 b951 m31686.0 rH
R665 c-5 b924 m30735.0 rS
R666 c-6 b606 m30273.0 rL
R667 c-5 b891 m29667.0 rW
R668 c-7 b612 m30558.0 rL
R669 c-4 b900 m29946.0 rU
R670 c0 b1854 m30846.0 rL
R671 c0 b1740 m28992.0 rW
R672 c0 b1848 m30732.0 rJ
R673 c0 b2016 m33504.0 rU
R674 c0 b2136 m35520.0 rL
R675 c1 b2338 m33384.0 rW
R676 c0 b2506 m35722.0 rW
R677 c-1 b1915 m38228.0 rL
R678 c-2 b1720 m34398.0 rD
R679 c-3 b1376 m34398.0 rH
R680 c-1 b1585 m31646.0 rB
R681 c-2 b1505 m30061.0 rB
R682 c-4 b858 m28556.0 rB
R683 c-5 b831 m27698.0 rW
R684 c-4 b858 m28529.0 rB
R685 c-3 b1108 m27671.0 rL
R686 c-2 b1330 m26563.0 rD
R687 c-3 b1064 m26563.0 rW
R688 c-1 b1385 m27627.0 rB
R689 c0 b1578 m26242.0 rW
R690 c-4 b837 m27820.0 rJ
R691 c-2 b1455 m29076.0 rL
R692 c0 b1662 m27621.0 rB
R693 c0 b1560 m25959.0 rU
R694 c-2 b1380 m27519.0 rH
R695 c-2 b1310 m26139.0 rW
R696 c-2 b1375 m27449.0 rL
R697 c0 b1482 m24699.0 rU
R698 c0 b1572 m26181.0 rD
R699 c-1 b1310 m26181.0 rB
R700 c-1 b1245 m24871.0 rU
R701 c-2 b1310 m26116.0 rU
R702 c-4 b825 m27426.0 rW
