============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R554 c3 b4536 m50348.5 rD
R555 c2 b4536 m50348.5 rU
R556 c0 b4165 m59420.5 rB
R557 c0 b3871 m55255.5 rS
R558 c1 b4272 m53320.0 rS
R559 c0 b3584 m51184.0 rB
R560 c1 b3808 m47600.0 rW
R561 c2 b4977 m55216.0 rB
R562 c1 b4024 m50239.0 rL
R563 c-1 b2110 m42191.0 rW
R564 c-4 b1332 m44301.0 rL
R565 c-4 b1290 m42969.0 rL
R566 c-3 b1668 m41679.0 rL
R567 c-6 b802 m40011.0 rJ
R568 c-6 b826 m41214.0 rB
R569 c-6 b808 m40388.0 rS
R570 c-7 b800 m39984.0 rL
R571 c-10 b392 m39184.0 rU
R572 c-10 b396 m39576.0 rH
R573 c-9 b392 m39180.0 rW
R574 c-7 b792 m39572.0 rL
R575 c-10 b388 m38780.0 rL
R576 c-10 b384 m38392.0 rJ
R577 c-9 b390 m38968.0 rL
R578 c-9 b386 m38578.0 rL
R579 c-9 b382 m38192.0 rU
R580 c-7 b772 m38574.0 rU
R581 c-8 b394 m39346.0 rW
R582 c-5 b1194 m39740.0 rJ
R583 c-7 b832 m41531.0 rJ
R584 c-7 b856 m42779.0 rW
R585 c-5 b1311 m43635.0 rS
R586 c-7 b860 m42979.5 rB
R587 c-7 b844 m42119.5 rU
R588 c-9 b430 m42963.5 rL
R589 c-8 b426 m42533.5 rU
R590 c-9 b430 m42959.5 rD
R591 c-10 b430 m42959.5 rW
R592 c-7 b878 m43819.5 rL
R593 c-9 b430 m42941.5 rW
R594 c-10 b434 m43371.5 rU
R595 c-8 b439 m43805.5 rU
R596 c-9 b443 m44244.5 rL
R597 c-9 b439 m43801.5 rB
R598 c-7 b868 m43362.5 rJ
R599 c-6 b894 m44664.5 rJ
R600 c-5 b1383 m46005.5 rB
R601 c-6 b894 m44622.5 rU
R602 c-6 b912 m45516.5 rU
R603 c-6 b930 m46428.5 rL
R604 c-6 b910 m45498.5 rW
R605 c-7 b930 m46408.5 rW
R606 c-8 b483 m48268.5 rL
R607 c-6 b956 m47785.5 rL
R608 c-8 b469 m46829.5 rL
R609 c-7 b918 m45891.5 rL
R610 c-8 b450 m44973.5 rH
R611 c-4 b1338 m44523.5 rW
R612 c-6 b918 m45861.5 rS
R613 c-5 b1365 m45402.5 rW
R614 c-6 b936 m46767.5 rU
R615 c-6 b956 m47703.5 rH
R616 c-7 b936 m46747.5 rB
R617 c-8 b459 m45811.5 rL
R618 c-6 b908 m45352.5 rL
R619 c-3 b1780 m44444.5 rJ
R620 c-3 b1888 m47114.5 rD
R621 c-3 b1888 m47114.5 rW
R622 c0 b2946 m49002.5 rU
R623 c-1 b2745 m54894.5 rW
R624 c-1 b2885 m57639.5 rB
R625 c0 b3288 m54754.5 rU
R626 c1 b4648 m58042.5 rU
R627 c3 b5643 m62690.5 rJ
R628 c4 b7120 m71155.5 rW
R629 c5 b7830 m78275.5 rL
R630 c3 b5643 m62615.5 rH
R631 c2 b5130 m56972.5 rU
R632 c1 b4976 m62102.5 rU
